"","","","","","","X.Intercept."
"225","13","30","hn+cov1","0.7","cov1","0.0437510248450401"
"226","13","30","hn+cov1","0.7","cov2",NA
"227","13","30","hn+cov1","0.7","aic","-4.4837427630989"
"228","13","30","hn+cov1","0.7","varp","0.0880241319405724"
"229","13","30","hn+cov1+cov2","0.7","p","0.562265238934968"
"230","13","30","hn+cov1+cov2","0.7","b0","-1.30262723638791"
"231","13","30","hn+cov1+cov2","0.7","cov1","-1.46556062539174"
"232","13","30","hn+cov1+cov2","0.7","cov2","1.81464450840904"
"233","13","30","hn+cov1+cov2","0.7","aic","-4.64992257113951"
"234","13","30","hn+cov1+cov2","0.7","varp","0.0996969404243485"
"235","14","30","hn","0.7","p","0.452072132643706"
"236","14","30","hn","0.7","b0","-1.01383979769049"
"237","14","30","hn","0.7","cov1",NA
"238","14","30","hn","0.7","cov2",NA
"239","14","30","hn","0.7","aic","-17.122024049152"
"240","14","30","hn","0.7","varp","0.0537320689572864"
"241","14","30","hn+cov1","0.7","p","0.430192093538583"
"242","14","30","hn+cov1","0.7","b0","-1.04329180469696"
"243","14","30","hn+cov1","0.7","cov1","0.282720163636218"
"244","14","30","hn+cov1","0.7","cov2",NA
"245","14","30","hn+cov1","0.7","aic","-17.5414737782817"
"246","14","30","hn+cov1","0.7","varp","0.0567642505012521"
"247","14","30","hn+cov1+cov2","0.7","p","0.403156196006588"
"248","14","30","hn+cov1+cov2","0.7","b0","-0.635477560899147"
"249","14","30","hn+cov1+cov2","0.7","cov1","0.984268149493405"
"250","14","30","hn+cov1+cov2","0.7","cov2","-1.20549975593871"
"251","14","30","hn+cov1+cov2","0.7","aic","-17.951732133463"
"252","14","30","hn+cov1+cov2","0.7","varp","0.0761128876650066"
"253","15","30","hn","0.7","p","0.415645018306422"
"254","15","30","hn","0.7","b0","-1.10107714189875"
"255","15","30","hn","0.7","cov1",NA
"256","15","30","hn","0.7","cov2",NA
"257","15","30","hn","0.7","aic","-21.4596294901675"
"258","15","30","hn","0.7","varp","0.0726990079435317"
"259","15","30","hn+cov1","0.7","p","0.415624726164674"
"260","15","30","hn+cov1","0.7","b0","-1.10494143813154"
"261","15","30","hn+cov1","0.7","cov1","-0.0202080353089787"
"262","15","30","hn+cov1","0.7","cov2",NA
"263","15","30","hn+cov1","0.7","aic","-19.4686990710498"
"264","15","30","hn+cov1","0.7","varp","0.0832911219942948"
"265","15","30","hn+cov1+cov2","0.7","p","0.415611556069355"
"266","15","30","hn+cov1+cov2","0.7","b0","-1.09926809238333"
"267","15","30","hn+cov1+cov2","0.7","cov1","-0.00695395692598134"
"268","15","30","hn+cov1+cov2","0.7","cov2","-0.018083412299313"
"269","15","30","hn+cov1+cov2","0.7","aic","-17.4702778812555"
"270","15","30","hn+cov1+cov2","0.7","varp","0.0842638216505478"
"271","16","30","hn","0.7","p","0.498698305034276"
"272","16","30","hn","0.7","b0","-0.908317834017046"
"273","16","30","hn","0.7","cov1",NA
"274","16","30","hn","0.7","cov2",NA
"275","16","30","hn","0.7","aic","-12.5218080589511"
"276","16","30","hn","0.7","varp","0.0753450617530959"
"277","16","30","hn+cov1","0.7","p","0.495087276273363"
"278","16","30","hn+cov1","0.7","b0","-0.907377584338005"
"279","16","30","hn+cov1","0.7","cov1","-0.12046807651066"
"280","16","30","hn+cov1","0.7","cov2",NA
"281","16","30","hn+cov1","0.7","aic","-10.9055649417905"
"282","16","30","hn+cov1","0.7","varp","0.0748720348663292"
"283","16","30","hn+cov1+cov2","0.7","p","0.495207778550936"
"284","16","30","hn+cov1+cov2","0.7","b0","-0.855565143804507"
"285","16","30","hn+cov1+cov2","0.7","cov1","-0.0715858610899301"
"286","16","30","hn+cov1+cov2","0.7","cov2","-0.10748250916362"
"287","16","30","hn+cov1+cov2","0.7","aic","-8.91897193380495"
"288","16","30","hn+cov1+cov2","0.7","varp","0.0759192146038157"
"289","17","30","hn","0.7","p","0.729660772261789"
"290","17","30","hn","0.7","b0","-0.390941089162292"
"291","17","30","hn","0.7","cov1",NA
"292","17","30","hn","0.7","cov2",NA
"293","17","30","hn","0.7","aic","-0.695043397184556"
"294","17","30","hn","0.7","varp","0.122185013476968"
"295","17","30","hn+cov1","0.7","p","0.728911418181438"
"296","17","30","hn+cov1","0.7","b0","0.177809754570988"
"297","17","30","hn+cov1","0.7","cov1","1.48385885119418"
"298","17","30","hn+cov1","0.7","cov2",NA
"299","17","30","hn+cov1","0.7","aic","-1.66305420462834"
"300","17","30","hn+cov1","0.7","varp","0.120638766002347"
"301","17","30","hn+cov1+cov2","0.7","p","0.463101116163125"
"302","17","30","hn+cov1+cov2","0.7","b0","13.6709704710481"
"303","17","30","hn+cov1+cov2","0.7","cov1","17.4822261424802"
"304","17","30","hn+cov1+cov2","0.7","cov2","-18.9975658540943"
"305","17","30","hn+cov1+cov2","0.7","aic","-5.82998971783018"
"306","17","30","hn+cov1+cov2","0.7","varp","0.99222380661078"
"307","18","30","hn","0.7","p","0.576816800798091"
"308","18","30","hn","0.7","b0","-0.739094344806704"
"309","18","30","hn","0.7","cov1",NA
"310","18","30","hn","0.7","cov2",NA
"311","18","30","hn","0.7","aic","-6.82022686140514"
"312","18","30","hn","0.7","varp","0.0959006337621628"
"313","18","30","hn+cov1","0.7","p","0.570220735549975"
"314","18","30","hn+cov1","0.7","b0","-0.723170563957732"
"315","18","30","hn+cov1","0.7","cov1","-0.300858595673821"
"316","18","30","hn+cov1","0.7","cov2",NA
"317","18","30","hn+cov1","0.7","aic","-5.65809019595876"
"318","18","30","hn+cov1","0.7","varp","0.0946121697591642"
"319","18","30","hn+cov1+cov2","0.7","p","0.570472159879029"
"320","18","30","hn+cov1+cov2","0.7","b0","-0.749387452520911"
"321","18","30","hn+cov1+cov2","0.7","cov1","-0.341356408709473"
"322","18","30","hn+cov1+cov2","0.7","cov2","0.0590371878243089"
"323","18","30","hn+cov1+cov2","0.7","aic","-3.66549247301704"
"324","18","30","hn+cov1+cov2","0.7","varp","0.0949404426165212"
"325","19","30","hn","0.7","p","0.594645251109426"
"326","19","30","hn","0.7","b0","-0.700694579574148"
"327","19","30","hn","0.7","cov1",NA
"328","19","30","hn","0.7","cov2",NA
"329","19","30","hn","0.7","aic","-5.81014912673586"
"330","19","30","hn","0.7","varp","0.0776888227166287"
"331","19","30","hn+cov1","0.7","p","0.541693667936964"
"332","19","30","hn+cov1","0.7","b0","-0.707771671136424"
"333","19","30","hn+cov1","0.7","cov1","0.458670970599479"
"334","19","30","hn+cov1","0.7","cov2",NA
"335","19","30","hn+cov1","0.7","aic","-7.89883402630145"
"336","19","30","hn+cov1","0.7","varp","0.0753526500944779"
"337","19","30","hn+cov1+cov2","0.7","p","0.417087844436756"
"338","19","30","hn+cov1+cov2","0.7","b0","-1.92669843614063"
"339","19","30","hn+cov1+cov2","0.7","cov1","-3.7118249105624"
"340","19","30","hn+cov1+cov2","0.7","cov2","5.78286605302965"
"341","19","30","hn+cov1+cov2","0.7","aic","-11.7939007800542"
"342","19","30","hn+cov1+cov2","0.7","varp","0.156650119334601"
"343","20","30","hn","0.7","p","0.567146790582704"
"344","20","30","hn","0.7","b0","-0.759878980709235"
"345","20","30","hn","0.7","cov1",NA
"346","20","30","hn","0.7","cov2",NA
"347","20","30","hn","0.7","aic","-7.40909402165462"
"348","20","30","hn","0.7","varp","0.0924407024362795"
"349","20","30","hn+cov1","0.7","p","0.567186070909545"
"350","20","30","hn+cov1","0.7","b0","-0.760419941309617"
"351","20","30","hn+cov1","0.7","cov1","-0.0158441220140619"
"352","20","30","hn+cov1","0.7","cov2",NA
"353","20","30","hn+cov1","0.7","aic","-5.41068979077573"
"354","20","30","hn+cov1","0.7","varp","0.0961294645468287"
"355","20","30","hn+cov1+cov2","0.7","p","0.556605631491788"
"356","20","30","hn+cov1+cov2","0.7","b0","-0.469932050666318"
"357","20","30","hn+cov1+cov2","0.7","cov1","0.623236571821384"
"358","20","30","hn+cov1+cov2","0.7","cov2","-0.650512672976491"
"359","20","30","hn+cov1+cov2","0.7","aic","-4.31976732233937"
