"","","","","","","X.Intercept."
"352","2","240","hn+cov1","0.7","cov2",NA
"353","2","240","hn+cov1","0.7","aic","-43.1041015239909"
"354","2","240","hn+cov1","0.7","varp","0.0326786368055888"
"355","2","240","hn+cov1+cov2","0.7","p","0.635462629082703"
"356","2","240","hn+cov1+cov2","0.7","b0","-0.654055104455659"
"357","2","240","hn+cov1+cov2","0.7","cov1","-0.206953073503193"
"358","2","240","hn+cov1+cov2","0.7","cov2","0.143354783603108"
"359","2","240","hn+cov1+cov2","0.7","aic","-41.3252269779539"
"360","2","240","hn+cov1+cov2","0.7","varp","0.032658332927948"
"361","1","240","hn","0.8","p","0.624046431013831"
"362","1","240","hn","0.8","b0","-0.636829730478422"
"363","1","240","hn","0.8","cov1",NA
"364","1","240","hn","0.8","cov2",NA
"365","1","240","hn","0.8","aic","-48.7384661681249"
"366","1","240","hn","0.8","varp","0.0323494969865988"
"367","1","240","hn+cov1","0.8","p","0.622639873699045"
"368","1","240","hn+cov1","0.8","b0","-0.636791163317485"
"369","1","240","hn+cov1","0.8","cov1","0.115115939018161"
"370","1","240","hn+cov1","0.8","cov2",NA
"371","1","240","hn+cov1","0.8","aic","-47.8661102815658"
"372","1","240","hn+cov1","0.8","varp","0.032249933572172"
"373","1","240","hn+cov1+cov2","0.8","p","0.622366660423169"
"374","1","240","hn+cov1+cov2","0.8","b0","-0.686642476812206"
"375","1","240","hn+cov1+cov2","0.8","cov1","-0.0325790656318025"
"376","1","240","hn+cov1+cov2","0.8","cov2","0.183688553671124"
"377","1","240","hn+cov1+cov2","0.8","aic","-46.1393401179957"
"378","1","240","hn+cov1+cov2","0.8","varp","0.0322532325096509"
"379","2","240","hn","0.8","p","0.600119328045381"
"380","2","240","hn","0.8","b0","-0.688867895106067"
"381","2","240","hn","0.8","cov1",NA
"382","2","240","hn","0.8","cov2",NA
"383","2","240","hn","0.8","aic","-58.150631452547"
"384","2","240","hn","0.8","varp","0.0303369134826644"
"385","2","240","hn+cov1","0.8","p","0.597316652303772"
"386","2","240","hn+cov1","0.8","b0","-0.686906191630952"
"387","2","240","hn+cov1","0.8","cov1","0.149856022930102"
"388","2","240","hn+cov1","0.8","cov2",NA
"389","2","240","hn+cov1","0.8","aic","-58.3682443961217"
"390","2","240","hn+cov1","0.8","varp","0.0305406937365144"
"391","2","240","hn+cov1+cov2","0.8","p","0.596168049498501"
"392","2","240","hn+cov1+cov2","0.8","b0","-0.613967773124811"
"393","2","240","hn+cov1+cov2","0.8","cov1","0.34484319371528"
"394","2","240","hn+cov1+cov2","0.8","cov2","-0.252141576743834"
"395","2","240","hn+cov1+cov2","0.8","aic","-56.9655295633502"
"396","2","240","hn+cov1+cov2","0.8","varp","0.0307627951723619"
"397","1","240","hn","0.9","p","0.561280009194416"
"398","1","240","hn","0.9","b0","-0.772486045942806"
"399","1","240","hn","0.9","cov1",NA
"400","1","240","hn","0.9","cov2",NA
"401","1","240","hn","0.9","aic","-76.2486196703129"
"402","1","240","hn","0.9","varp","0.0283587185176296"
"403","1","240","hn+cov1","0.9","p","0.559208617865782"
"404","1","240","hn+cov1","0.9","b0","-0.778800047162884"
"405","1","240","hn+cov1","0.9","cov1","-0.11704951173375"
"406","1","240","hn+cov1","0.9","cov2",NA
"407","1","240","hn+cov1","0.9","aic","-75.9394313271117"
"408","1","240","hn+cov1","0.9","varp","0.0282826768384976"
"409","1","240","hn+cov1+cov2","0.9","p","0.558338134035456"
"410","1","240","hn+cov1+cov2","0.9","b0","-0.840112128563946"
"411","1","240","hn+cov1+cov2","0.9","cov1","-0.378081404714454"
"412","1","240","hn+cov1+cov2","0.9","cov2","0.2872552670892"
"413","1","240","hn+cov1+cov2","0.9","aic","-74.5382112521635"
"414","1","240","hn+cov1+cov2","0.9","varp","0.0283010317191192"
"415","2","240","hn","0.9","p","0.523241430976055"
"416","2","240","hn","0.9","b0","-0.854561735685128"
"417","2","240","hn","0.9","cov1",NA
"418","2","240","hn","0.9","cov2",NA
"419","2","240","hn","0.9","aic","-97.8688345474543"
"420","2","240","hn","0.9","varp","0.0262501718092098"
"421","2","240","hn+cov1","0.9","p","0.523088471302452"
"422","2","240","hn+cov1","0.9","b0","-0.854874714911511"
"423","2","240","hn+cov1","0.9","cov1","-0.0228642506969128"
"424","2","240","hn+cov1","0.9","cov2",NA
"425","2","240","hn+cov1","0.9","aic","-95.9579557280334"
"426","2","240","hn+cov1","0.9","varp","0.0262932136545979"
"427","2","240","hn+cov1+cov2","0.9","p","0.521900905964808"
"428","2","240","hn+cov1+cov2","0.9","b0","-0.928060782461796"
"429","2","240","hn+cov1+cov2","0.9","cov1","-0.33634334167047"
"430","2","240","hn+cov1+cov2","0.9","cov2","0.367201025380656"
"431","2","240","hn+cov1+cov2","0.9","aic","-94.924588083534"
"432","2","240","hn+cov1+cov2","0.9","varp","0.0262342739472107"
"433","1","480","hn","0.7","p","0.60274397170149"
"434","1","480","hn","0.7","b0","-0.683189165029389"
"435","1","480","hn","0.7","cov1",NA
"436","1","480","hn","0.7","cov2",NA
"437","1","480","hn","0.7","aic","-116.114772032905"
"438","1","480","hn","0.7","varp","0.0224507353558053"
"439","1","480","hn+cov1","0.7","p","0.60037757258967"
"440","1","480","hn+cov1","0.7","b0","-0.680985295452539"
"441","1","480","hn+cov1","0.7","cov1","-0.150540268604241"
"442","1","480","hn+cov1","0.7","cov2",NA
"443","1","480","hn+cov1","0.7","aic","-118.232601963916"
"444","1","480","hn+cov1","0.7","varp","0.0223716073209875"
"445","1","480","hn+cov1+cov2","0.7","p","0.600264092538378"
"446","1","480","hn+cov1+cov2","0.7","b0","-0.707419555049343"
"447","1","480","hn+cov1+cov2","0.7","cov1","-0.198409635376318"
"448","1","480","hn+cov1+cov2","0.7","cov2","0.0713130366185067"
"449","1","480","hn+cov1+cov2","0.7","aic","-116.349754373703"
"450","1","480","hn+cov1+cov2","0.7","varp","0.0223686183224204"
"451","2","480","hn","0.7","p","0.521252806181228"
"452","2","480","hn","0.7","b0","-0.858885830411867"
"453","2","480","hn","0.7","cov1",NA
"454","2","480","hn","0.7","cov2",NA
"455","2","480","hn","0.7","aic","-200.235128707403"
"456","2","480","hn","0.7","varp","0.017371701406067"
"457","2","480","hn+cov1","0.7","p","0.521044372354088"
"458","2","480","hn+cov1","0.7","b0","-0.859625209883755"
"459","2","480","hn+cov1","0.7","cov1","-0.0305434688279227"
"460","2","480","hn+cov1","0.7","cov2",NA
"461","2","480","hn+cov1","0.7","aic","-198.523330492065"
"462","2","480","hn+cov1","0.7","varp","0.0173632681943554"
"463","2","480","hn+cov1+cov2","0.7","p","0.521035125821853"
"464","2","480","hn+cov1+cov2","0.7","b0","-0.866395560687347"
"465","2","480","hn+cov1+cov2","0.7","cov1","-0.0428598555497866"
"466","2","480","hn+cov1+cov2","0.7","cov2","0.018575776683401"
"467","2","480","hn+cov1+cov2","0.7","aic","-196.537274991327"
"468","2","480","hn+cov1+cov2","0.7","varp","0.0174167520022477"
"469","1","480","hn","0.8","p","0.589563578461083"
