"","","","","","","X.Intercept."
"338","19","30","hn+cov1+cov2","0.7","b0","-1.98313061089622"
"339","19","30","hn+cov1+cov2","0.7","cov1","2.48997799543504"
"340","19","30","hn+cov1+cov2","0.7","cov2","1.40416167437554"
"341","19","30","hn+cov1+cov2","0.7","aic","-5.18131166317925"
"342","19","30","hn+cov1+cov2","0.7","varp","0.177059536696756"
"343","20","30","hn","0.7","p","0.837986853419265"
"344","20","30","hn","0.7","b0","-0.248809629242881"
"345","20","30","hn","0.7","cov1",NA
"346","20","30","hn","0.7","cov2",NA
"347","20","30","hn","0.7","aic","0.508461591522674"
"348","20","30","hn","0.7","varp","0.13242171821673"
"349","20","30","hn+cov1","0.7","p","0.546520241529911"
"350","20","30","hn+cov1","0.7","b0","-2.25127431688427"
"351","20","30","hn+cov1","0.7","cov1","16.6779798483574"
"352","20","30","hn+cov1","0.7","cov2",NA
"353","20","30","hn+cov1","0.7","aic","-9.25355836634751"
"354","20","30","hn+cov1","0.7","varp","0.190978199547916"
"355","20","30","hn+cov1+cov2","0.7","p","0.538646585503169"
"356","20","30","hn+cov1+cov2","0.7","b0","-2.22855182113689"
"357","20","30","hn+cov1+cov2","0.7","cov1","17.5262350799464"
"358","20","30","hn+cov1+cov2","0.7","cov2","-0.20187569049849"
"359","20","30","hn+cov1+cov2","0.7","aic","-7.33704428780574"
"360","20","30","hn+cov1+cov2","0.7","varp","0.207101077194261"
"361","21","30","hn","0.7","p","0.746034875941264"
"362","21","30","hn","0.7","b0","-0.412286578113448"
"363","21","30","hn","0.7","cov1",NA
"364","21","30","hn","0.7","cov2",NA
"365","21","30","hn","0.7","aic","-0.813829785784633"
"366","21","30","hn","0.7","varp","0.137626484896232"
"367","21","30","hn+cov1","0.7","p","0.724193409353303"
"368","21","30","hn+cov1","0.7","b0","0.0819610807152501"
"369","21","30","hn+cov1","0.7","cov1","-0.949742585840756"
"370","21","30","hn+cov1","0.7","cov2",NA
"371","21","30","hn+cov1","0.7","aic","-0.116008654763451"
"372","21","30","hn+cov1","0.7","varp","0.14556853129243"
"373","21","30","hn+cov1+cov2","0.7","p","0.71196454120912"
"374","21","30","hn+cov1+cov2","0.7","b0","0.51933417473975"
"375","21","30","hn+cov1+cov2","0.7","cov1","-0.192134689119765"
"376","21","30","hn+cov1+cov2","0.7","cov2","-1.12682204790811"
"377","21","30","hn+cov1+cov2","0.7","aic","1.04086980781189"
"378","21","30","hn+cov1+cov2","0.7","varp","0.139680863571651"
